"id","title","decision","new_ticket_id_or_null","reason"
"PHX-0037","LLMRateLimitError as first-class exception in LLMProvider","carry-forward","PHX-1011","LLM abstraction concern preserved."
"PHX-0038","AuditingLLMProvider wrapper to replace per-extractor audit-wiring","carry-forward","PHX-1012","LLM auditing concern preserved."
"PHX-0039","Token-bucket backoff inside LLMProvider","carry-forward","PHX-1013","LLM throttling concern preserved."
"PHX-0040","Per-stage RPM throttling in IngestionPipeline (alternative to PHX-0039)","carry-forward","PHX-1014","Throttling concern preserved; alternative to PHX-1013."
"PHX-0041","Detective default-on threshold re-evaluation post-frontmatter-fix","obsolete","","MESH has different anomaly detection path (Argus pathology in S5)."
"PHX-0042","Cypher query-plan audit for hot read paths in Neo4jKnowledgeStore","obsolete","","Neo4j-specific; MESH forbids traditional graph databases per TARGET_ARCHITECTURE.md."
"PHX-0043","Async-pipeline IngestionPipeline writes against Neo4jKnowledgeStore","obsolete","","Neo4j-specific; MESH writes to Lance."
"PHX-0044","Read-replica readiness audit of Neo4jKnowledgeStore","obsolete","","Neo4j-specific; MESH uses Lance MVCC snapshots."
"PHX-0045","pytest-xdist parallel test execution with explicit serial marker","carry-forward","PHX-1015","CI infrastructure concern independent of substrate."
"PHX-0046","batch_upsert_nodes/batch_upsert_edges via UNWIND+MERGE in Neo4jKnowledgeStore","obsolete","","Neo4j-specific; MESH uses Lance append + CSR rebuild."
"PHX-0047","Neo4jSettings password default 'neo4j' triggers Neo4j 5.x default-prevention","obsolete","","Neo4j-specific; MESH has no Neo4j dependency."
"PHX-0048","KnowledgeStore.batch_update_scores — bulk score writes for OneirosWorker","absorbed","","MESH_IMPLEMENTATION.md specifies delta buffer + CSR rebuild for Oneiros updates."
"PHX-0049","AnswerSynthesizer system prompt not packaged for non-editable installs","carry-forward","PHX-1016","Packaging concern independent of substrate."
"PHX-0050","ConstellationAssembler does N depth-1 neighborhood probes; replace with single bulk-edges Cypher","obsolete","","Neo4j-specific; MESH CSR provides adjacency directly via SpMV."
"PHX-0051","MultiHopBreakdown.nodes_per_hop carries single-element approximation; pick a schema","obsolete","","Gen-1 query-result shape; MESH retrieval emits Constellation with different schema."
"PHX-0052","HNSW + filter pushdown for vector_search WHERE-on-layer/node_type","absorbed","","MESH_IMPLEMENTATION.md §Nodes — LanceDB uses HNSW per vector column."
"PHX-0053","traverse Cypher: strip embeddings from path-materialised KnowledgeNode payloads","obsolete","","Neo4j-specific; MESH has no Cypher path."
"PHX-0054","Re-measure PHX-0046 batch_upsert speedup on bare-metal Linux Neo4j","obsolete","","Neo4j-specific; MESH uses different write path."
"PHX-0055","CI smoke-test against the live default LLM provider — catches model-retired surprises","carry-forward","PHX-1017","CI discipline concern preserved per AGENTS.md."
"PHX-0056","Activation Engine v1 — pluggable retrieval strategies","absorbed","","MESH_RETRIEVAL.md §Spreading Activation as batched SpMV supersedes this."
"PHX-0057","Edge-Pheromone trails + Slow-Path emancipation","absorbed","","MESH_SUBSTRATE.md §Hebbian update + eligibility traces + super-linear decay."
"PHX-0058","Aggregated stub detection — recurring blind spots prioritised for outward research","carry-forward","PHX-1018","Curiosity layer preserved; needs MESH rewrite in S5."
"PHX-0059","Morpheus-as-Associator + multi-layer connectivity — the dreamer worker","absorbed","","MESH_IMPLEMENTATION.md §Oneiros — implementation order covers the full tick."
"PHX-0060","Domain Clusters / Cognitive Centers — brain-region-style clustering","carry-forward","PHX-1019","Clustering concern survives; needs reframing against MESH topology (S5+)."
"PHX-0061","Vector-Routed Federation — chronicles discover each other via exposed signature vectors","carry-forward","PHX-1020","Federation explicitly deferred to post-migration per scope caps."
"PHX-0062","Negative Knowledge / Anti-Bullshit Layer","absorbed","","MESH_SUBSTRATE.md §Agent-driven cleanup + §Pathology and therapy."
"PHX-0063","Chronik-Diff — structured time-window diff over the chronicle","absorbed","","MESH_IMPLEMENTATION.md §Audit ledger + Lance version snapshots."
"PHX-0064","Portable Constellation — query result + supporting subgraph as a transferable file","carry-forward","PHX-1021","Constellation preserved in MESH_RETRIEVAL.md; serialisation format open."
"PHX-0065","Pantheon as Time Machine — temporal queries against the append-only ledger","absorbed","","MESH_IMPLEMENTATION.md §Lance MVCC versioning + checkout."
"PHX-0066","Hosted Pantheon MCP Service — public read-only deploy","carry-forward","PHX-1022","MCP server preserved; needs mesh-readiness in S4."
"PHX-0067","Eris — Adversarial Defender / Red-Team agent","carry-forward","PHX-1023","Pantheon agent preserved; MESH integration in S5."
"PHX-0068","Nemesis — Hybris Auditor / Internal overconfidence checker","carry-forward","PHX-1024","Pantheon agent preserved; MESH integration in S5."
"PHX-0069","Hosted MCP SSE session affinity — multi-machine deploys","carry-forward","PHX-1025","MCP infrastructure concern preserved."
"PHX-0070","StubLLM synthesis raises before completion — pantheon_ask returns failed","carry-forward","PHX-1026","Synthesizer concern preserved."
"PHX-0071","Mnemosyne — self-reflective backlog auditor","carry-forward","PHX-1027","Pantheon agent preserved; MESH integration in S5."
"PHX-0072","Proteus — twin-agent A/B testing for evolutionary best-practice updates","carry-forward","PHX-1028","Experimental infrastructure concern preserved."
"PHX-0073","Asklepios — Healer agent that triages auditor findings","absorbed","","MESH_SUBSTRATE.md §Agent-driven cleanup + §Therapy covers this."
"PHX-0074","Iris — the Pantheon Cockpit, a human-facing dashboard for status","carry-forward","PHX-1029","Cockpit preserved; needs mesh-readiness in S4."
